,class_sms,sms
0,ham,"until,jurong,point,,crazy..,Available,only,bugis,great,world,buffet...,Cine,there,got,amore,wat..."
1,ham,"lar...,Joking,wif,oni..."
2,spam,"Free,entry,wkly,comp,win,Cup,final,tkts,May,.,Text,receive,entry,question(std,txt,rate,apply,over"
3,ham,"dun,say,early,hor,already,then,say..."
4,ham,"Nah,don,think,goes,usf,lives,around,here,though"
5,spam,"FreeMsg,Hey,there,darling,been,week,now,and,word,back,like,some,fun,you,for,still!,XxX,std,chgs,send,rcv"
6,ham,"Even,brother,not,like,speak,with.,They,treat,like,aids,patent."
7,ham,"per,your,request,'Melle,Melle,(Oru,Minnaminunginte,Nurungu,Vettam)',has,been,set,your,callertune,for,all,Callers.,Press,copy,your,friends,Callertune"
8,spam,"WINNER,valued,network,customer,you,have,been,selected,receivea,£,prize,reward,claim,call,.,Claim,code.,Valid,hours,only."
9,spam,"Had,your,mobile,months,more,entitled,Update,the,latest,colour,mobiles,with,camera,for,Free!,Call,The,Mobile,Update,FREE"
10,ham,"gonna,home,soon,and,don,want,talk,about,this,stuff,anymore,tonight,cried,enough,today."
11,spam,"SIX,chances,win,CASH!,From,,,pounds,txt>,CSH,and,send,.,Cost/day,,days,,+,TsandCs,apply,Reply,info"
12,spam,"URGENT!,You,have,won,week,FREE,membership,our,£,,Prize,Jackpot!,Txt,the,word:,CLAIM,www.dbuk.net,LCCLTD,POBOX,LDNWARW"
13,ham,"been,searching,for,the,right,words,thank,you,for,this,breather,promise,wont,take,your,help,for,granted,and,will,fulfil,promise.,You,have,been,wonderful,and,blessing,all,times."
14,ham,"HAVE,DATE,SUNDAY,WITH,WILL!!"
15,spam,"XXXMobileMovieClub,use,your,credit,,click,the,WAP,link,the,next,txt,message,click,here>>,http://wap.,xxxmobilemovieclub.com=QJKGIGHJJGCBL"
16,ham,"watching,here:)"
17,ham,"remember,how,spell,his,name...,Yes,did,naughty,make,until,wet."
18,ham,"Fine,that,the,way,feel.,That,the,way,its,gota"
19,spam,"England,Macedonia,-,dont,miss,the,goals/team,news.,Txt,national,team,ENGLAND,Try:WALES,,SCOTLAND,txt.,POBOXoxWWQ,+"
20,ham,"that,seriously,how,you,spell,his,name?"
21,ham,"going,try,for,months,only,joking"
22,ham,"pay,first,lar...,Then,when,stock,comin..."
23,ham,"Aft,finish,lunch,then,str,down,lor.,Ard,smth,lor,finish,lunch,already?"
24,ham,"Ffffffffff.,Alright,way,can,meet,with,you,sooner?"
