,class_sms,sms
2,spam,Free entry wkly comp win Cup final tkts May . Text receive entry question(std txt rate apply over
5,spam,FreeMsg Hey there darling been  week now and word back like some fun you for still! XxX std chgs send rcv
8,spam,WINNER valued network customer you have been selected receivea £ prize reward claim call . Claim code. Valid  hours only.
9,spam,Had your mobile  months more entitled Update the latest colour mobiles with camera for Free! Call The Mobile Update FREE 
11,spam,"SIX chances win CASH! From , pounds txt> CSH and send . Cost/day, days, + TsandCs apply Reply  info"
12,spam,"URGENT! You have won  week FREE membership our £, Prize Jackpot! Txt the word: CLAIM www.dbuk.net LCCLTD POBOX LDNWARW"
15,spam,"XXXMobileMovieClub use your credit, click the WAP link the next txt message click here>> http://wap. xxxmobilemovieclub.com=QJKGIGHJJGCBL"
19,spam,"England Macedonia - dont miss the goals/team news. Txt national team ENGLAND  Try:WALES, SCOTLAND txt. POBOXoxWWQ +"
34,spam,Thanks for your subscription Ringtone your mobile will charged £/month Please confirm replying YES you reply you will not charged
42,spam, - Rodger Burns - MSG tried call you your reply our sms for free nokia mobile + free camcorder. Please call now  for delivery tomorrow
54,spam,SMS Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct Incorrect? End? Reply END SPTV
56,spam,"Congrats!  year special cinema pass for yours. call  now Suprman, Matrix, StarWars, etc all  FREE. Dont miss out! "
65,spam," valued customer pleased advise you that following recent review your Mob. you are awarded with £ Bonus Prize, call "
67,spam,"Urgent awarded complimentary trip EuroDisinc Trav, Aco&Entry claim txt DIS  +*£.(moreFrmMob. ShrAcomOrSglSuplt"
68,spam,"Did you hear about the new ""Divorce Barbie comes with all Ken stuff!"
93,spam,Please call our customer service representative    between you have WON guaranteed £ cash £ prize!
95,spam,"Your free ringtone waiting collected. Simply text the password ""MIX verify. Get Usher and Britney. FML Box. Ppw "
114,spam,GENT are trying contact you. Last weekends draw shows that you won £ prize GUARANTEED. Call . Claim Code. Valid hrs only. ppm
117,spam,You are winner have been specially selected  receive * holiday (flights inc) speak live operator  claim/min (+) 
120,spam,PRIVATE! Your  Account Statement for  shows  unredeemed Bonus Points claim call  Identifier Code:  Expires
121,spam,"URGENT! Your Mobile. was awarded £ Bonus Caller Prize // This our final try contact! Call from Landline  BOXWRC, PPM"
123,spam,Todays Voda numbers ending  are selected receive $ award you have match please call  quoting claim code  standard rates app
134,spam,Sunshine Quiz Wkly! Win top Sony DVD player know which country the Algarve? Txt ansr:Tyrone
135,spam,Want  get laid tonight? Want real Dogging locations sent direct mob? Join the largest Dogging Network Txting GRAVEL. eca.msg
139,spam,You not rcv any more msgs from the chat svc. For FREE Hardcore services text get nothing must Age Verify with network & try again
147,spam,"FreeMsg Why haven you replied text Randy, sexy, female and live local. Luv hear from. Netcollex Ltd per msg reply Stop end"
159,spam,Customer service annoncement. You have New Years delivery waiting for you. Please call  now arrange delivery
160,spam,You are winner have been specially selected  receive £ cash * holiday (flights inc) speak live operator  claim 
164,spam,-PLS STOP bootydelious inviting you her friend. Reply YES- See her: www.SMS/bootydelious STOP? Send STOP FRND 
165,spam,"BangBabes order the way SHOULD receive Service Msg  download content not, GoTo wap. bangb mobile internet/service menu"
167,spam,URGENT are trying contact you. Last weekends draw shows that you have won £ prize GUARANTEED. Call . Claim code. Valid hrs only
188,spam,Please call our customer service representative FREEPHONE    between you have WON guaranteed £ cash £ prize!
191,spam,Are you unique enough? Find out from August. www.areyouunique
